# Pathway	QFS30_kneaddata_merged_Abundance
UNMAPPED	1854175.4032142079
UNINTEGRATED	3254358.9584659408
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	801569.0092330702
UNINTEGRATED|unclassified	711387.7872872804
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	260187.6196596857
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	255305.5266722449
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	241410.2545500330
UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii	179493.2338990132
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	150926.5367795926
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	116226.7399711629
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	101405.0438488461
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	76205.8014247237
UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	60416.8881398899
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	56824.9683982760
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	45651.2153948647
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	32313.8683094149
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	29580.6416166271
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	23045.9336522079
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	18786.4747196790
UNINTEGRATED|g__Desulfovibrio.s__Desulfovibrio_piger	18204.4098885904
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	16300.0054576199
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	16209.2902934215
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_johnsonii	15700.9916694327
UNINTEGRATED|g__Pseudoflavonifractor.s__Pseudoflavonifractor_capillosus	14405.4538216103
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	13161.1034066854
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_L2_50	13104.3611889772
UNINTEGRATED|g__Coprobacter.s__Coprobacter_fastidiosus	12960.9141413770
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	12572.0022159969
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	11839.6846651652
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	10949.5460958601
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	10884.1458525566
UNINTEGRATED|g__Bacteroides.s__Bacteroides_nordii	10156.0052884209
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	9491.1381112731
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	9299.4102341608
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	8008.1347975765
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	7958.6399569949
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	7891.3854334178
UNINTEGRATED|g__Alistipes.s__Alistipes_senegalensis	7287.0401695050
UNINTEGRATED|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	6961.5816474637
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	5539.9042049122
UNINTEGRATED|g__Clostridium.s__Clostridium_leptum	5124.9523693034
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	4904.2561259502
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	4507.6497777495
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	4024.5493883927
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	3144.3869576469
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_bifidum	2792.7816687158
UNINTEGRATED|g__Coriobacteriaceae_noname.s__Coriobacteriaceae_bacterium_phI	2683.2268051533
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	2366.0352470057
UNINTEGRATED|g__Prevotella.s__Prevotella_timonensis	1292.4567595750
UNINTEGRATED|g__Alistipes.s__Alistipes_indistinctus	1076.2360700680
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	1051.8432234638
UNINTEGRATED|g__Gardnerella.s__Gardnerella_vaginalis	949.2955890502
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	838.0243857126
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	802.1472153594
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	697.1687867888
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_angulatum	689.1174586631
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	681.9986418596
UNINTEGRATED|g__Veillonella.s__Veillonella_parvula	439.5255090175
UNINTEGRATED|g__Atopobium.s__Atopobium_vaginae	356.3683807146
PWY-7219: adenosine ribonucleotides de novo biosynthesis	4310.0339219704
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	1733.3026030285
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	815.1156896861
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_eggerthii	254.5375429496
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Alistipes.s__Alistipes_putredinis	252.3026882130
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	197.1480207233
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	166.8625424433
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Alistipes.s__Alistipes_shahii	154.8093138807
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	134.5198925871
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	107.8617959880
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Odoribacter.s__Odoribacter_splanchnicus	70.0955275509
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_caccae	48.6540313885
